Link ,Vendor ,Brand ,flavors ,cans per flavor ,Cost,# of Cans ,cost per can ,,CPC,,,,,,,,,,,,,,,,,
https://www.amazon.com/GURU-Organic-Variety-Caffeine-Prebiotic/dp/B0D932K7RK/ref=sr_1_4_sspa?crid=48I111P7EWYW&dib=eyJ2IjoiMSJ9.0CDZsushD-2H0qX7xv0eRZsqArlq9pcEuOmkzkTXZE32lHUKi-_TyY_jc9nE_B9YxhP1-QiPR21P3y39Tyb4dTCoEkrIbBrVtryRgoQeWDkRrz4Vq_VGFU_qbzd5VlSgj1kzcAQ5sK5Z_a9LR9PZ8T8KceKatmAcbrLKR-C-k-rf7BxMWXHp42B0Rr6DOsq4iaW_Ao4VO7YrpL_Tiyc8h41DF4YEzGAT_59TThQCnzvrmNp9hC3jLADuKsJGAlgG3A9LPHcGd3KeFKYfXKfiOsFamX_bVpFmDI-uEjYkv2s.z1bxXK-9zrKIp02Lrd5Ts8O5Z1ASiF1XRWc8dbJP5RY&dib_tag=se&keywords=healthy%2Benergy%2Bdrinks&qid=1764100784&sprefix=helathy%2Bene%2Caps%2C160&sr=8-4-spons&sp_csd=d2lkZ2V0TmFtZT1zcF9hdGY&th=1,Amazon ,Guru,4,3,18,12,$1.50,,140mg,,,,,,,,,,,,,,,,,
https://www.amazon.com/GURU-Organic-Variety-Caffeine-Prebiotic/dp/B0D932K7RK/ref=sr_1_4_sspa?crid=48I111P7EWYW&dib=eyJ2IjoiMSJ9.0CDZsushD-2H0qX7xv0eRZsqArlq9pcEuOmkzkTXZE32lHUKi-_TyY_jc9nE_B9YxhP1-QiPR21P3y39Tyb4dTCoEkrIbBrVtryRgoQeWDkRrz4Vq_VGFU_qbzd5VlSgj1kzcAQ5sK5Z_a9LR9PZ8T8KceKatmAcbrLKR-C-k-rf7BxMWXHp42B0Rr6DOsq4iaW_Ao4VO7YrpL_Tiyc8h41DF4YEzGAT_59TThQCnzvrmNp9hC3jLADuKsJGAlgG3A9LPHcGd3KeFKYfXKfiOsFamX_bVpFmDI-uEjYkv2s.z1bxXK-9zrKIp02Lrd5Ts8O5Z1ASiF1XRWc8dbJP5RY&dib_tag=se&keywords=healthy%2Benergy%2Bdrinks&qid=1764100784&sprefix=helathy%2Bene%2Caps%2C160&sr=8-4-spons&sp_csd=d2lkZ2V0TmFtZT1zcF9hdGY&th=1,Amazon ,Guru ,4,3,18,12,$1.50,,140mg,,,,,,,,,,,,,,,,,
https://www.amazon.com/GORGIE-Tropical-Variety-Sugar-Free-Sparkling/dp/B0C5NBV6FL/ref=sr_1_1_sspa?dib=eyJ2IjoiMSJ9.0CDZsushD-2H0qX7xv0eRZsqArlq9pcEuOmkzkTXZE13YilsAi9dLNa12lRFSzQrnQY67PkMA_EA5rgVCtyaEd89IZuKGoiDACFR1sfSVzu-h4NbzKjq8t2ogTNVZ6xNx2BNkE6WI8pnc0VWa0E3-0TOgWO1rR0RHaBTNbRJ0HEf8HQ7M2fhVN0-LLiVDhLiTSwLnB4vWOVDqmViKnbQDeKmL6uzxXjWhh-e0HYvgWDlybI3PtUhSFxTqvzHoVClIo7SFkMwBw5ieUTfFtU2Yn_n6Aaz-RR6tsyzubSdcaI.NQQpwaBCo5_5UoTss-AZMYNlo7JBIa3XJbzehIIK7kw&dib_tag=se&keywords=healthy%2Benergy%2Bdrinks&qid=1764101040&rdc=1&sr=8-1-spons&sp_csd=d2lkZ2V0TmFtZT1zcF9hdGY&th=1,Amazon ,Gorige,3,4,22,12,$1.83,,150mg ,,,,,,,,,,,,,,,,,
amazon.com/GORGIE-Tropical-Variety-Sugar-Free-Sparkling/dp/B0C5NBV6FL/ref=sr_1_1_sspa?dib=eyJ2IjoiMSJ9.0CDZsushD-2H0qX7xv0eRZsqArlq9pcEuOmkzkTXZE13YilsAi9dLNa12lRFSzQrnQY67PkMA_EA5rgVCtyaEd89IZuKGoiDACFR1sfSVzu-h4NbzKjq8t2ogTNVZ6xNx2BNkE6WI8pnc0VWa0E3-0TOgWO1rR0RHaBTNbRJ0HEf8HQ7M2fhVN0-LLiVDhLiTSwLnB4vWOVDqmViKnbQDeKmL6uzxXjWhh-e0HYvgWDlybI3PtUhSFxTqvzHoVClIo7SFkMwBw5ieUTfFtU2Yn_n6Aaz-RR6tsyzubSdcaI.NQQpwaBCo5_5UoTss-AZMYNlo7JBIa3XJbzehIIK7kw&dib_tag=se&keywords=healthy%2Benergy%2Bdrinks&qid=1764101040&rdc=1&sr=8-1-spons&sp_csd=d2lkZ2V0TmFtZT1zcF9hdGY&th=1,Amazon ,Gorige,3,4,22,12,$1.83,,150mg ,,,,,,,,,,,,,,,,,
https://www.amazon.com/PHX-Hydration-Energy-Drink-Electrolytes/dp/B0FDRYCJSK/ref=sxin_18_pa_sp_search_thematic_sspa?content-id=amzn1.sym.b8835974-eacc-4ffa-8f77-b14ee5f0007c%3Aamzn1.sym.b8835974-eacc-4ffa-8f77-b14ee5f0007c&cv_ct_cx=healthy%2Benergy%2Bdrinks&keywords=healthy%2Benergy%2Bdrinks&pd_rd_i=B0FDRYCJSK&pd_rd_r=675c3883-add0-40eb-bd87-76c09c0875e1&pd_rd_w=70Agk&pd_rd_wg=1nDQg&pf_rd_p=b8835974-eacc-4ffa-8f77-b14ee5f0007c&pf_rd_r=W5RE8VQZE9AHE6BMKYHD&qid=1764101187&sbo=9ZOMT9Jm0JH%2Ft%2BWi68iDSA%3D%3D&sr=1-1-e169343e-09af-4d41-85b1-8335fe8f32d0-spons&aref=HpyU23F1Vl&sp_csd=d2lkZ2V0TmFtZT1zcF9zZWFyY2hfdGhlbWF0aWM&smid=A1ZZDQBC1UNDB8&th=1,Amazon ,PHXx2 ,6,4,46,24,$1.91,,200mg ,,,,,,,,,,,,,,,,,
https://www.amazon.com/Natural-Caffeine-Variety-Optimum-Performance/dp/B0C63C5NBQ/ref=sr_1_17?dib=eyJ2IjoiMSJ9.0CDZsushD-2H0qX7xv0eRZsqArlq9pcEuOmkzkTXZE13YilsAi9dLNa12lRFSzQrnQY67PkMA_EA5rgVCtyaEd89IZuKGoiDACFR1sfSVzu-h4NbzKjq8t2ogTNVZ6xNx2BNkE6WI8pnc0VWa0E3-0TOgWO1rR0RHaBTNbRJ0HEf8HQ7M2fhVN0-LLiVDhLiTSwLnB4vWOVDqmViKnbQDeKmL6uzxXjWhh-e0HYvgWDlybI3PtUhSFxTqvzHoVClIo7SFkMwBw5ieUTfFtU2Yn_n6Aaz-RR6tsyzubSdcaI.NQQpwaBCo5_5UoTss-AZMYNlo7JBIa3XJbzehIIK7kw&dib_tag=se&keywords=healthy%2Benergy%2Bdrinks&qid=1764101187&rdc=1&sr=8-17&th=1,Amazon ,LifeAid FitAid,4,6,53,24,$2.20,,200mg ,,,,,,,,,,,,,,,,,
https://www.amazon.com/Lucky-Energy-Beta-Alanine-Caffeine-Packaging/dp/B0DKGF3RY5/ref=sr_1_34?dib=eyJ2IjoiMSJ9.0CDZsushD-2H0qX7xv0eRZsqArlq9pcEuOmkzkTXZE13YilsAi9dLNa12lRFSzQrnQY67PkMA_EA5rgVCtyaEd89IZuKGoiDACFR1sfSVzu-h4NbzKjq8t2ogTNVZ6xNx2BNkE6WI8pnc0VWa0E3-0TOgWO1rR0RHaBTNbRJ0HEf8HQ7M2fhVN0-LLiVDhLiTSwLnB4vWOVDqmViKnbQDeKmL6uzxXjWhh-e0HYvgWDlybI3PtUhSFxTqvzHoVClIo7SFkMwBw5ieUTfFtU2Yn_n6Aaz-RR6tsyzubSdcaI.NQQpwaBCo5_5UoTss-AZMYNlo7JBIa3XJbzehIIK7kw&dib_tag=se&keywords=healthy%2Benergy%2Bdrinks&qid=1764101187&sr=8-34&th=1,Amazon ,Luck y ,5,2,20,10,$20,,200mg ,,,,,,,,,,,,,,,,,
https://www.amazon.com/Accelerator-Enhanced-Sustained-Caffeine-Ashwagandha/dp/B0DVQBWWGW/ref=sr_1_43?dib=eyJ2IjoiMSJ9.0CDZsushD-2H0qX7xv0eRZsqArlq9pcEuOmkzkTXZE13YilsAi9dLNa12lRFSzQrnQY67PkMA_EA5rgVCtyaEd89IZuKGoiDACFR1sfSVzu-h4NbzKjq8t2ogTNVZ6xNx2BNkE6WI8pnc0VWa0E3-0TOgWO1rR0RHaBTNbRJ0HEf8HQ7M2fhVN0-LLiVDhLiTSwLnB4vWOVDqmViKnbQDeKmL6uzxXjWhh-e0HYvgWDlybI3PtUhSFxTqvzHoVClIo7SFkMwBw5ieUTfFtU2Yn_n6Aaz-RR6tsyzubSdcaI.NQQpwaBCo5_5UoTss-AZMYNlo7JBIa3XJbzehIIK7kw&dib_tag=se&keywords=healthy%2Benergy%2Bdrinks&qid=1764101187&rdc=1&sr=8-43&th=1,Amazon ,Accelertor ,3,4,20,12,$1.66,,200mg ,,,,,,,,,,,,,,,,,
https://www.amazon.com/Artificial-Anything-Sucralose-Natural-Healthy/dp/B086H5J9G4/ref=sr_1_53?dib=eyJ2IjoiMSJ9.0CDZsushD-2H0qX7xv0eRZsqArlq9pcEuOmkzkTXZE13YilsAi9dLNa12lRFSzQrnQY67PkMA_EA5rgVCtyaEd89IZuKGoiDACFR1sfSVzu-h4NbzKjq8t2ogTNVZ6xNx2BNkE6WI8pnc0VWa0E3-0TOgWO1rR0RHaBTNbRJ0HEf8HQ7M2fhVN0-LLiVDhLiTSwLnB4vWOVDqmViKnbQDeKmL6uzxXjWhh-e0HYvgWDlybI3PtUhSFxTqvzHoVClIo7SFkMwBw5ieUTfFtU2Yn_n6Aaz-RR6tsyzubSdcaI.NQQpwaBCo5_5UoTss-AZMYNlo7JBIa3XJbzehIIK7kw&dib_tag=se&keywords=healthy%2Benergy%2Bdrinks&qid=1764101187&sr=8-53&th=1,Amazon ,Riot ,5,?,43,12,$3.58,,160mg ,,,,,,,,,,,,,,,,,
https://www.amazon.com/REDCON1-Energy-High-Performance-Drink/dp/B0FDXCPQ9K/ref=sr_1_65?dib=eyJ2IjoiMSJ9.QD_trGZD3nGFMpbU3-zP4_uJZkA0sxxVTt_4vBKUCHy8U7YNVtkMcxEtTWlcwHf_EMLxbqp6TjJd2rTdvjWpRN7BTbQ2CH6bbUYyzHx5XwTQHvZcCweA3duvFArcZDKPChDorcw6ITZHJcWeuF5RkstC76r1laHbtS4fTEaIrpuYL5-IdchOjQmx8SyC0ATgkX7ohw2djlwliHr_2yD16lGOZI0eVt_sxlddbEC2Pq1AdV0n6Jnhyf_r6_BCb2xzhZzvpV4ooCEW7nshcgKL2me73Vwaq5k_5r-FBSGIXhI.YHKjsnlXS7lXHt9mhg6qTKRDTeuHL3LpI9SfmfCRAqk&dib_tag=se&keywords=healthy%2Benergy%2Bdrinks&qid=1764102601&sr=8-65&xpid=3x17F8SKbr71W&th=1,Amazon ,Redcon1,3,4,20,12,$1.66,,200mg ,,,,,,,,,,,,,,,,,
